wilayah;tahun;periode;id_periode;nilai;nasional;target RKP;target_makro_rpjmn ;target_rkpd;target_kewilayahan_rkp;versi;satuan;sumber;id_indikator;nama_indikator
6200;2021;03;202103;140040;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
6300;2021;03;202103;208110;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
6400;2021;03;202103;241770;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
6500;2021;03;202103;52860;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7100;2021;03;202103;196350;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7200;2021;03;202103;404440;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7300;2021;03;202103;784980;27542770;;;819169;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7400;2021;03;202103;318700;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7500;2021;03;202103;186290;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7600;2021;03;202103;157190;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
8100;2021;03;202103;321810;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
8200;2021;03;202103;87160;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
9100;2021;03;202103;219070;27542770;;;200000;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
9400;2021;03;202103;920440;27542770;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1000;2021;09;202109;26503650;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1100;2021;09;202109;850260;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1200;2021;09;202109;1273070;26503650;;;1315000;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1300;2021;09;202109;339930;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1400;2021;09;202109;496660;26503650;;;476000;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1500;2021;09;202109;279860;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1600;2021;09;202109;1116610;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1700;2021;09;202109;291790;26503650;;;291999;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1800;2021;09;202109;1007020;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
1900;2021;09;202109;69700;26503650;;;75635;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
2100;2021;09;202109;137750;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
3100;2021;09;202109;498290;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
3200;2021;09;202109;4004860;26503650;;;3920000;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
3300;2021;09;202109;3934010;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
3400;2021;09;202109;474490;26503650;;;309021;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
3500;2021;09;202109;4259600;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
3600;2021;09;202109;852280;26503650;;;600000;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
5100;2021;09;202109;211460;26503650;;;120000;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
5200;2021;09;202109;735300;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
5300;2021;09;202109;1146280;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
6100;2021;09;202109;354000;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
6200;2021;09;202109;141030;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
6300;2021;09;202109;197760;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
6400;2021;09;202109;233130;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
6500;2021;09;202109;49490;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7100;2021;09;202109;186550;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7200;2021;09;202109;381210;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7300;2021;09;202109;765460;26503650;;;819169;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7400;2021;09;202109;323260;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7500;2021;09;202109;184600;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
7600;2021;09;202109;165990;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
8100;2021;09;202109;294970;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
8200;2021;09;202109;81180;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
9100;2021;09;202109;221290;26503650;;;200000;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
9400;2021;09;202109;944490;26503650;;;;;12/09/2022;Orang;Badan Pusat Statistik;40;ind1_jumlahmiskin
